bill,date,code,sp,quantity,price,revenue,discount
,,LO31108Z,LORI Ensley Doll W/ Dress & Purse,1,"459,000",,"459,000"
,,LO31132Z,LORI Joanna Doll -  PiLORIt,1,"459,000",,"459,000"
,,LO31041Z,LORI Evan Riding Doll,1,"459,000",,"459,000"
20014,22/07/2023,TM-474784,Police Car Shoot Base,1,"790,000","474,000","316,000"
,,TM-834939,DM Tsum TSum Daisy Duck,1,"180,000","90,000","90,000"
,,TM-841876,SC-08 Star Wars Star Cars,1,"199,000","99,000","100,000"
,,TM-616887,Tomica 4D Toyota 86Gr,1,"379,000","189,000","190,000"
20015,22/07/2023,PL70533,Máy bay chuyên cơ,1,"1,190,000","1,190,000",
,,PL6842,Elf and Dwarf Duo Pack,1,"199,000",,"199,000"
20016,22/07/2023,DL73263,Bộ nhà thỏ búp bê Dalimi,1,"1,390,000","1,390,000",
,,HD-55012,Bộ lắp ráp Lâu đài (101 miếng),1,"990,000","495,000","495,000"
20017,22/07/2023,TM-866312,Tomica Dream Hello Kitty Collection B'17,1,"180,000","90,000","90,000"
,,TM-820420,Dream TF Bumblebee,1,"140,000","70,000","70,000"
20018,22/07/2023,AQB-30128,Hạt AQB_ Chủ đề Cars,1,"349,000","104,000","245,000"
20019,22/07/2023,AN2772Z,Thế giới Đại dương Terra,1,"990,000","990,000",
20020,22/07/2023,TM-397618,07 Impreza WRX,1,"89,000","44,000","45,000"
,,TM-333432,28 Toyota iQ,1,"89,000","44,000","45,000"
20021,22/07/2023,TM-397618,07 Impreza WRX,1,"89,000","44,000","45,000"
20022,22/07/2023,PL70888,Xe thăm dò sao Hỏa,1,"1,990,000","1,592,000","398,000"
20023,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
150001,22/07/2023,PL70733,Blindpack nhân vật Playmobil Season 21 (Nữ),1,"99,000","99,000",
,,PL70732,Blindpack nhân vật Playmobil Season 21 ,2,"99,000","198,000",
,,PL70732,Blindpack nhân vật Playmobil Season 21 ,1,"99,000",,"99,000"
150002,22/07/2023,HP73322,Bể cá cầu vồng Harp,1,"1,590,000","1,590,000",
150003,22/07/2023,WH1210Z,Xe cứu hỏa nhỏ Driven,1,"429,000","429,000",
150004,22/07/2023,WH1015Z,Xe lu nhỏ Driven,1,"429,000","429,000",
