bill,date,code,sp,quantity,price,revenue,discount,%
SO0020,15/01/22,SG 477,Thử thách IQ Link,1,249000,229000,20000,0.080321285
,,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
SO0022,15/01/22,SG 467,Thử thách IQ Circuit,1,279000,259000,20000,0.071684588
SO0025,15/01/22,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
150011,16/01/22,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
,,SG 023,Ba chú heo con,1,690000,690000,0,0
190010,16/01/22,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
,,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
190011,16/01/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
150001,17/01/22,SG 412,Ghép hình lập phương,1,399000,399000,0,0
150006,18/01/22,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
170001,18/01/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
,,SG 090,Mật mã màu sắc,1,590000,590000,0,0
SO0009,18/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
SO0010,18/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
SO0016,18/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
SO0019,18/01/22,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
,,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
SO0020,18/01/22,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
SO0021,18/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
SO0023,18/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
SO0025,18/01/22,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
SO0026,18/01/22,SG 412,Ghép hình lập phương,1,399000,399000,0,0
SO0027,18/01/22,SG 412,Ghép hình lập phương,1,399000,300000,99000,0.248120301
,,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
SO0028,18/01/22,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
SO0029,18/01/22,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
SO0030,18/01/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
SO0031,18/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
SO0033,18/01/22,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
SO0035,18/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
