bill,date,code,sp,quantity,price,revenue,discount,%
140016,9/1/2021,SGM 201,Ghép hình lập phương mở rộng,1,"499,000","499,000",0,0
,,SG 023 ,Ba chú heo con,1,"690,000","690,000",0,0
,,SGT 240-8,Tàu Noah,1,"249,000",,"249,000",1
140017,9/1/2021,SG 488,Thử thách IQ Twist,1,"249,000","249,000",0,0
140033,9/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150007,9/1/2021,SG 488,Thử thách IQ Twist,1,"249,000","249,000",0,0
150008,9/1/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
170003,9/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
,,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
170010,9/1/2021,SG 421,Nhảy qua nào,1,"399,000","279,000","120,000",0.3
,,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
170014,9/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
170021,9/1/2021,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
170028,9/1/2021,SG 425,Sóc lăn hạt,1,"399,000","279,000","120,000",0.3
170031,9/1/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
,,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
170035,9/1/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
200004,9/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
210010,9/1/2021,SGM 201,Ghép hình lập phương mở rộng,1,"499,000","499,000",0,0
220002,9/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
230005,9/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
,,SG 023 ,Ba chú heo con,1,"690,000","690,000",0,0
,,SGT 250-8,Miếng Phô Mai xoắn não,1,"249,000",,"249,000",1
280007,9/1/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
,,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
300004,9/1/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
150005,10/1/2021,SGM 201,Ghép hình lập phương mở rộng,1,"499,000","499,000",0,0
170009,10/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
170023,10/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
190012,10/1/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
200009,10/1/2021,SG 412,Ghép hình lập phương,1,"399,000","399,000",0,0
,,SG 021 ,Cô bé quàng khăn đỏ (HỦy),1,"690,000","690,000",0,0
,,SGT 240-8,Tàu Noah,1,"249,000",,"249,000",1
210001,10/1/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
230002,10/1/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
250008,10/1/2021,SG 412,Ghép hình lập phương,1,"399,000","399,000",0,0
,,SG 412,Ghép hình lập phương,1,"399,000","399,000",0,0
