code,name,price,stock,FL Lotte,FL Takashimaya,FL Estella,FL Crescent Mall,Sale Online,FL Event HCM,Kho VP805,Kho GKCPP,Kho FL,Kho ADC,FL Sai Dong,Kho HN_Thanh lý,Kho HCM_Thanh lý
WD3666,Big Jazz Drum,"999,000",1,,,,,,,,,1,,,,
WD3667,Music Jazz Drum,"239,000",2,,,,,,,,,1,,1,,
WD3686,Fabulous Microphone,"249,000",1,,,,,,,,,1,,,,
WD3698,Happy Animal Stack,"129,000",1,,,,,,,,,1,,,,
WD3719A,Sliding Tumbler_Dolphin,"119,000",14,,,6,,,,2,,1,,4,1,
WD3719B,Sliding Tumbler_Raccoon,"119,000",20,,,14,,,,4,,,,2,,
WD3719C,Sliding Tumbler_Rabbit,"119,000",3,,,2,,,,1,,,,,,
WD3719D,Sliding Tumbler_Cat,"119,000",27,,,16,,,,2,,,,6,3,
WD3740,Mini Steering,"279,000",1,,,,,,,,,1,,,,
AQB-30078,Bộ AQB_ Finding Dory,"649,000",19,4,2,,,,4,,,,,9,,
AQB-30088,Bộ AQB_ Finding Dory (cơ bản),"479,000",12,2,1,,,,,,,1,,8,,
AQB-30098,Bộ AQB_ Finding Dory và những người bạn,"349,000",11,3,,,,,2,,,5,,1,,
AQB-30118,Bộ AQB nhân vật Toy story,"349,000",43,,,4,,,,,29,10,,,,
AQB-30128,Hạt AQB_ Chủ đề Cars,"349,000",48,5,,2,,,,,,7,,34,,
AQB-30198,Bộ 3 xe hơi 3D Lightnin,"479,000",50,3,10,8,,,2,,,7,,20,,
AQB-30208,Bộ 3 xe hơi 3D Cruz Ram,"479,000",98,5,15,16,,,3,,5,15,,39,,
AQB-30528,MN Minion Playset,"649,000",2,,,,,,2,,,,,,,
AQB-30538,MN Minion Character Set,"349,000",3,,,,,,,,,3,,,,
AQB-31038,Bộ Hạt Nhựa Sáng Tạo AQB_ Chủ Đề Elegant,"159,000",64,3,,,,,,,,53,,8,,
AQB-31048,Bộ Hạt Nhựa Sáng Tạo AQB_Chủ Đề Đá Quý,"159,000",77,4,2,6,,,,,24,35,,6,,
